Origin,Destination,Distance,Time
11,10,0,0
11,12,820,146
11,13,645,115
11,14,360,62
11,15,480,86
11,16,244,44
11,17,458,79
11,18,853,152
11,19,326,57
11,20,321,55
11,21,260,44
11,22,829,150
11,23,1020,183
11,24,902,164
11,25,411,71
11,26,951,173
11,27,147,24
11,28,225,40
11,29,295,51
11,30,529,93
11,31,920,167
11,32,416,71
11,33,311,53
11,34,471,86
11,35,950,169
11,36,1706,368
11,37,490,87
11,38,173,33
11,39,520,92
11,40,1382,241
11,41,431,79
11,42,18,3
11,43,370,67
11,44,426,77
11,45,1512,265
11,46,1512,265
11,47,185,33
11,48,376,68
11,49,90,16
11,50,374,68
11,51,321,58
11,52,273,47
11,53,857,155
11,54,2038,407
11,55,783,142
11,56,1529,269
11,57,490,89
11,58,420,77
11,59,412,75
11,60,2093,416
11,61,112,21
11,62,905,161
11,63,458,79
11,64,251,45
11,65,506,90
11,66,506,90
11,67,118,22
11,68,269,46
11,69,735,131
11,70,142,26
11,71,866,212
11,72,945,172
11,73,400,73
11,74,810,145
11,75,84,15
11,76,197,33
11,77,1525,317
11,78,1525,317
11,79,362,66
11,80,2004,401
11,81,725,128
11,82,28,5
11,83,1386,245
11,84,724,129
11,85,1093,196
11,86,808,201
11,87,725,128
11,88,1057,184
11,89,1045,188
11,90,853,152
11,91,1633,347
11,92,277,49
11,93,374,66
11,94,1306,222
11,95,270,46
11,96,230,41
11,97,388,67
11,98,313,57
11,99,339,58
11,100,1614,354
11,101,298,52
11,102,349,61
11,103,577,102
11,104,531,95
11,105,551,98
11,106,419,71
11,107,945,172
11,108,201,37
11,109,485,84
11,110,485,84
11,111,506,90
11,112,696,125
11,113,260,44
11,114,429,77
11,115,432,77
11,116,96,16
11,117,4,1
11,118,858,155
11,119,561,98
11,120,91,15
11,121,622,111
11,122,364,63
11,123,1607,281
11,124,692,151
11,125,653,117
11,126,22,4
11,127,557,98
11,128,679,122
11,129,91,15
11,130,374,64
12,1,1516,269
12,2,653,116
12,3,653,116
12,4,707,127
12,5,1253,217
12,6,1253,217
12,7,990,177
12,8,504,89
12,9,526,93
12,10,820,144
12,11,820,144
12,13,825,147
12,14,629,112
12,15,990,177
12,16,576,103
12,17,1278,223
12,18,34,5
12,19,1146,201
12,20,1140,199
12,21,1080,188
12,22,1019,182
12,23,410,72
12,24,552,98
12,25,684,122
12,26,503,89
12,27,967,168
12,28,595,106
12,29,1114,195
12,30,1349,237
12,31,534,95
12,32,1236,215
12,33,1131,197
12,34,589,105
12,35,735,131
12,36,1159,255
12,37,1310,231
12,38,907,161
12,39,1340,236
12,40,604,104
12,41,1250,223
12,42,838,147
12,43,450,80
12,44,936,168
12,45,902,154
12,46,902,154
12,47,888,158
12,48,623,112
12,49,730,129
12,50,1193,212
12,51,499,89
12,52,1092,191
12,53,247,44
12,54,1218,260
12,55,524,94
12,56,751,132
12,57,1309,233
12,58,1239,221
12,59,1231,219
12,60,1273,269
12,61,931,165
12,62,779,139
12,63,1278,223
12,64,703,127
12,65,1326,234
12,66,1326,234
12,67,937,166
12,68,1088,190
12,69,1245,222
12,70,961,170
12,71,1686,356
12,72,509,91
12,73,1219,217
12,74,878,156
12,75,904,159
12,76,1017,177
12,77,705,170
12,78,705,170
12,79,609,110
12,80,1184,254
12,81,1545,272
12,82,848,149
12,83,776,134
12,84,1234,220
12,85,483,85
12,86,1628,345
12,87,1545,272
12,88,238,38
12,89,435,77
12,90,34,5
12,91,1023,236
12,92,787,140
12,93,1194,210
12,94,486,75
12,95,1090,190
12,96,1050,185
12,97,1208,211
12,98,560,101
12,99,1159,202
12,100,1067,241
12,101,1118,196
12,102,986,175
12,103,529,92
12,104,483,85
12,105,503,88
12,106,1239,215
12,107,509,91
12,108,849,151
12,109,543,94
12,110,543,94
12,111,1326,234
12,112,1516,269
12,113,1080,188
12,114,939,168
12,115,1252,221
12,116,916,160
12,117,824,145
12,118,990,176
12,119,830,148
12,120,911,159
12,121,848,152
12,122,1184,207
12,123,788,134
12,124,1511,295
12,125,1473,261
12,126,798,140
12,127,1377,242
12,128,141,25
12,129,911,159
12,130,1194,208
13,1,580,127
13,2,502,85
13,3,502,85
13,4,437,79
13,5,1078,181
13,6,1078,181
13,7,165,30
13,8,721,125
13,9,513,90
13,10,645,108
13,11,645,108
13,12,825,141
13,14,695,116
13,15,165,30
13,16,580,99
13,17,1103,187
13,18,859,146
13,19,970,165
13,20,811,138
13,21,905,152
13,22,282,51
13,23,468,82
13,24,326,56
13,25,746,125
13,26,375,65
13,27,792,132
13,28,560,96
13,29,785,134
13,30,1174,201
13,31,344,59
13,32,1061,179
13,33,956,161
13,34,720,121
13,35,305,54
13,36,1058,249
13,37,918,158
13,38,640,108
13,39,948,163
13,40,923,154
13,41,290,51
13,42,663,111
13,43,706,123
13,44,419,76
13,45,687,115
13,46,687,115
13,47,713,121
13,48,666,113
13,49,555,93
13,50,495,85
13,51,656,113
13,52,917,155
13,53,564,96
13,54,1731,344
13,55,301,50
13,56,1070,182
13,57,324,57
13,58,518,90
13,59,511,88
13,60,1676,334
13,61,610,102
13,62,260,46
13,63,1103,187
